VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
2,1630476274000000,1630476928000000,2.0,4.9,1.0,N,87,229,1,16.0,0.5,0.5,2.0,0.0,0.3,21.8,2.5,0.0
2,1630477591000000,1630477959000000,1.0,1.13,1.0,N,162,229,1,6.0,0.5,0.5,1.96,0.0,0.3,11.76,2.5,0.0
2,1630478175000000,1630478430000000,2.0,1.37,1.0,N,141,262,1,6.0,0.5,0.5,1.96,0.0,0.3,11.76,2.5,0.0
1,1630454415000000,1630455514000000,2.0,6.5,1.0,N,90,260,2,21.0,3.0,0.5,0.0,6.55,0.3,31.35,2.5,0.0
2,1630457094000000,None,None,2.32,1.0,N,75,238,2,10.5,0.5,0.5,0.0,0.0,0.3,11.8,0.0,0.0
1,1630455308000000,None,None,1.6,1.0,N,239,263,1,7.5,3.0,0.5,2.8,0.0,0.3,14.1,2.5,0.0
1,1630456536000000,None,None,7.6,1.0,N,137,42,1,25.5,3.0,0.5,5.85,0.0,0.3,35.15,2.5,0.0
2,1630456449000000,None,1.0,1.24,1.0,N,45,232,1,7.5,0.5,0.5,1.0,0.0,0.3,12.3,2.5,0.0
1,1630455711000000,None,1.0,11.2,1.0,N,93,113,1,33.5,3.0,0.5,10.95,6.55,0.3,54.8,2.5,0.0
2,1630456723000000,None,1.0,5.53,1.0,N,90,49,2,20.5,0.5,0.5,0.0,0.0,0.3,24.3,2.5,0.0
2,1630457782000000,1630459297000000,1.0,6.14,1.0,N,181,149,1,21.5,0.5,0.5,4.56,0.0,0.3,27.36,0.0,0.0
2,1630454712000000,1630455104000000,1.0,0.92,1.0,N,234,107,1,6.0,0.5,0.5,1.96,0.0,0.3,11.76,2.5,0.0
2,1630455313000000,1630455530000000,1.0,1.38,1.0,N,137,229,1,5.5,0.5,0.5,1.86,0.0,0.3,11.16,2.5,0.0
2,1630455720000000,1630456082000000,1.0,1.36,1.0,N,233,140,1,6.5,0.5,0.5,2.06,0.0,0.3,12.36,2.5,0.0
1,1630456015000000,1630458255000000,2.0,18.9,2.0,N,132,48,2,52.0,3.75,0.5,0.0,6.55,0.3,63.1,2.5,1.25
2,1630456379000000,1630456829000000,1.0,1.51,1.0,N,148,79,1,7.5,0.5,0.5,2.82,0.0,0.3,14.12,2.5,0.0
2,1630456970000000,1630457440000000,1.0,1.09,1.0,N,79,144,2,6.5,0.5,0.5,0.0,0.0,0.3,10.3,2.5,0.0
2,1630455210000000,1630455635000000,1.0,1.66,1.0,N,163,140,1,7.5,0.5,0.5,2.26,0.0,0.3,13.56,2.5,0.0
2,1630457249000000,1630458905000000,1.0,11.61,1.0,N,140,171,2,35.0,0.5,0.5,0.0,0.0,0.3,38.8,2.5,0.0
2,1630454823000000,1630455200000000,5.0,2.06,1.0,N,229,263,2,8.0,0.5,0.5,0.0,0.0,0.3,11.8,2.5,0.0
2,1630455359000000,1630456364000000,5.0,4.11,1.0,N,263,90,1,15.5,0.5,0.5,3.86,0.0,0.3,23.16,2.5,0.0
2,1630457418000000,1630459185000000,5.0,9.79,1.0,N,249,168,1,30.5,0.5,0.5,6.86,0.0,0.3,41.16,2.5,0.0
2,1630456664000000,1630457643000000,2.0,10.98,1.0,N,138,243,1,30.0,0.5,0.5,9.67,6.12,0.3,48.34,0.0,1.25
2,1630457902000000,1630457943000000,2.0,0.13,1.0,N,243,243,2,2.5,0.5,0.5,0.0,0.0,0.3,3.8,0.0,0.0
2,1630456312000000,1630457508000000,1.0,4.37,1.0,N,107,262,1,18.5,0.5,0.5,2.0,0.0,0.3,24.3,2.5,0.0
1,1630455242000000,1630455828000000,2.0,2.9,1.0,N,170,148,1,10.5,3.0,0.5,2.85,0.0,0.3,17.15,2.5,0.0
1,1630456375000000,1630456790000000,1.0,2.8,1.0,N,137,262,1,9.5,3.0,0.5,3.0,0.0,0.3,16.3,2.5,0.0
1,1630457152000000,1630457791000000,2.0,2.6,1.0,Y,263,143,2,10.5,3.0,0.5,0.0,0.0,0.3,14.3,2.5,0.0
1,1630454444000000,1630455550000000,0.0,7.1,1.0,N,263,248,2,22.0,3.0,0.5,0.0,0.0,0.3,25.8,2.5,0.0
