VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee
1,1693527337000000,1693527621000000,1,0.8,1,N,163,230,2,6.5,3.5,0.5,0.0,0.0,1.0,11.5,2.5,0.0
2,1693527520000000,1693528228000000,2,2.34,1,N,236,233,1,14.2,1.0,0.5,2.0,0.0,1.0,21.2,2.5,0.0
2,1693528501000000,1693528744000000,1,1.62,1,N,162,236,1,8.6,1.0,0.5,2.0,0.0,1.0,15.6,2.5,0.0
2,1693529145000000,1693529257000000,1,0.74,1,N,141,229,1,5.1,1.0,0.5,1.0,0.0,1.0,11.1,2.5,0.0
2,1693526483000000,1693528685000000,1,9.85,1,N,138,230,1,45.0,6.0,0.5,17.02,0.0,1.0,73.77,2.5,1.75
2,1693526720000000,1693529217000000,3,12.83,1,N,93,75,2,55.5,1.0,0.5,0.0,6.94,1.0,67.44,2.5,0.0
1,1693529510000000,1693530621000000,0,10.9,1,N,93,255,1,41.5,1.0,0.5,3.0,0.0,1.0,47.0,0.0,0.0
1,1693526464000000,1693527516000000,1,3.9,1,N,140,7,1,20.5,3.5,0.5,6.35,0.0,1.0,31.85,2.5,0.0
2,1693528664000000,1693529544000000,2,2.7,1,N,45,164,1,16.3,1.0,0.5,4.26,0.0,1.0,25.56,2.5,0.0
2,1693526533000000,1693526832000000,1,1.02,1,N,238,236,1,7.9,1.0,0.5,2.58,0.0,1.0,15.48,2.5,0.0
2,1693528218000000,1693529916000000,1,16.66,2,N,132,140,2,70.0,0.0,0.5,0.0,0.0,1.0,75.75,2.5,1.75
2,1693526912000000,1693527358000000,2,1.37,1,N,138,138,2,9.3,6.0,0.5,0.0,0.0,1.0,18.55,0.0,1.75
2,1693526636000000,1693527789000000,1,8.17,1,N,138,170,1,33.1,6.0,0.5,8.0,6.94,1.0,59.79,2.5,1.75
2,1693528828000000,1693529622000000,1,2.31,1,N,230,140,1,14.9,1.0,0.5,3.98,0.0,1.0,23.88,2.5,0.0
2,1693529870000000,1693530157000000,2,0.95,1,N,234,186,1,7.2,1.0,0.5,2.44,0.0,1.0,14.64,2.5,0.0
1,1693526668000000,1693529360000000,1,12.2,1,N,74,189,1,54.8,3.5,0.5,11.95,0.0,1.0,71.75,2.5,0.0
1,1693526792000000,1693526801000000,1,0.0,1,Y,161,161,2,3.0,3.5,0.5,0.0,0.0,1.0,8.0,2.5,0.0
1,1693527533000000,1693527548000000,1,0.0,1,N,163,161,2,3.0,3.5,0.5,0.0,0.0,1.0,8.0,2.5,0.0
1,1693528282000000,1693529273000000,2,2.4,1,N,43,90,1,16.3,3.5,0.5,4.25,0.0,1.0,25.55,2.5,0.0
2,1693526685000000,1693527567000000,1,3.28,1,N,142,42,2,18.4,1.0,0.5,0.0,0.0,1.0,23.4,2.5,0.0
1,1693526766000000,1693528066000000,2,2.9,1,N,230,79,1,19.8,3.5,0.5,4.95,0.0,1.0,29.75,2.5,0.0
1,1693528391000000,1693529563000000,1,4.0,1,N,79,163,1,21.9,3.5,0.5,6.7,0.0,1.0,33.6,2.5,0.0
2,1693527036000000,1693527514000000,1,1.15,1,N,68,48,1,9.3,1.0,0.5,2.14,0.0,1.0,16.44,2.5,0.0
2,1693529985000000,1693530584000000,1,1.69,1,N,158,234,2,11.4,1.0,0.5,0.0,0.0,1.0,16.4,2.5,0.0
2,1693528452000000,1693528963000000,1,1.3,1,N,114,114,1,10.0,1.0,0.5,3.0,0.0,1.0,18.0,2.5,0.0
2,1693528537000000,1693529035000000,1,1.27,1,N,234,68,1,9.3,1.0,0.5,2.86,0.0,1.0,17.16,2.5,0.0
2,1693529422000000,1693530637000000,1,5.24,1,N,90,181,1,25.4,1.0,0.5,5.0,0.0,1.0,35.4,2.5,0.0
2,1693526682000000,1693527401000000,1,1.98,1,N,114,164,1,13.5,1.0,0.5,3.7,0.0,1.0,22.2,2.5,0.0
2,1693527927000000,1693528965000000,1,5.52,1,N,164,88,2,26.1,1.0,0.5,0.0,0.0,1.0,31.1,2.5,0.0
2,1693526634000000,1693527138000000,1,1.67,1,N,186,224,1,10.7,1.0,0.5,3.14,0.0,1.0,18.84,2.5,0.0
2,1693529463000000,1693529851000000,1,1.86,1,N,140,75,1,10.0,1.0,0.5,3.0,0.0,1.0,18.0,2.5,0.0
2,1693527300000000,1693527979000000,5,1.76,1,N,125,209,1,12.1,1.0,0.5,3.42,0.0,1.0,20.52,2.5,0.0
