VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee,cbd_congestion_fee
2,1756685960000000,1756687517000000,1,9.92,1,N,138,114,1,42.9,6.0,0.5,10.73,0.0,1.0,66.13,2.5,1.75,0.75
2,1756685720000000,1756686368000000,2,6.82,1,N,93,157,1,26.8,1.0,0.5,5.86,0.0,1.0,35.16,0.0,0.0,0.0
2,1756685167000000,1756686143000000,1,3.95,1,N,68,13,1,19.8,1.0,0.5,5.11,0.0,1.0,30.66,2.5,0.0,0.75
2,1756687787000000,1756688689000000,1,3.14,1,N,234,87,1,17.7,1.0,0.5,3.52,0.0,1.0,26.97,2.5,0.0,0.75
2,1756685100000000,1756685732000000,6,2.81,1,N,230,151,1,14.9,1.0,0.5,4.13,0.0,1.0,24.78,2.5,0.0,0.75
1,1756685813000000,1756686576000000,2,2.0,1,N,79,164,1,14.2,4.25,0.5,4.0,0.0,1.0,23.95,2.5,0.0,0.75
1,1756686781000000,1756687393000000,2,3.1,1,N,164,236,1,14.9,4.25,0.5,4.1,0.0,1.0,24.75,2.5,0.0,0.75
1,1756688197000000,1756688915000000,1,1.0,1,N,170,229,1,12.1,4.25,0.5,3.55,0.0,1.0,21.4,2.5,0.0,0.75
2,1756685627000000,1756687486000000,1,6.41,1,N,79,177,1,33.8,1.0,0.5,7.91,0.0,1.0,47.46,2.5,0.0,0.75
2,1756685607000000,1756686099000000,2,1.16,1,N,48,162,1,8.6,1.0,0.5,2.87,0.0,1.0,17.22,2.5,0.0,0.75
2,1756686193000000,1756686816000000,1,2.47,1,N,162,74,1,12.1,1.0,0.5,3.0,0.0,1.0,20.85,2.5,0.0,0.75
2,1756685708000000,1756687460000000,1,7.99,1,N,186,243,1,38.0,1.0,0.5,5.0,0.0,1.0,48.75,2.5,0.0,0.75
2,1756685910000000,1756687273000000,4,9.24,1,N,138,98,2,39.4,6.0,0.5,0.0,0.0,1.0,48.65,0.0,1.75,0.0
1,1756686582000000,1756687418000000,1,5.6,1,N,74,137,4,24.0,4.25,0.5,0.0,0.0,1.0,29.75,2.5,0.0,0.75
1,1756687744000000,1756688372000000,1,2.1,1,N,170,48,1,11.4,4.25,0.5,3.45,0.0,1.0,20.6,2.5,0.0,0.75
2,1756685155000000,1756685816000000,2,1.59,1,N,246,163,2,12.1,1.0,0.5,0.0,0.0,1.0,17.85,2.5,0.0,0.75
2,1756686402000000,1756686881000000,1,1.29,1,N,246,230,1,9.3,1.0,0.5,3.01,0.0,1.0,18.06,2.5,0.0,0.75
2,1756687503000000,1756688120000000,2,2.06,1,N,48,238,1,12.8,1.0,0.5,3.71,0.0,1.0,22.26,2.5,0.0,0.75
1,1756686771000000,1756688329000000,1,15.8,2,N,132,164,1,70.0,3.25,0.5,10.0,6.94,1.0,91.69,2.5,0.0,0.75
2,1756685120000000,1756686383000000,2,8.01,1,N,138,256,2,35.2,6.0,0.5,0.0,0.0,1.0,44.45,0.0,1.75,0.0
2,1756685816000000,1756686062000000,3,1.49,1,N,137,140,1,7.9,1.0,0.5,2.0,0.0,1.0,15.65,2.5,0.0,0.75
1,1756685937000000,1756687208000000,0,5.1,1,N,68,25,1,24.7,4.25,0.5,6.05,0.0,1.0,36.5,2.5,0.0,0.75
2,1756685802000000,1756686807000000,1,2.1,1,N,79,232,1,16.3,1.0,0.5,0.0,0.0,1.0,22.05,2.5,0.0,0.75
2,1756685163000000,1756685177000000,1,0.0,1,N,48,48,4,-3.0,-1.0,-0.5,0.0,0.0,-1.0,-8.75,-2.5,0.0,-0.75
2,1756685163000000,1756685177000000,1,0.0,1,N,48,48,4,3.0,1.0,0.5,0.0,0.0,1.0,8.75,2.5,0.0,0.75
2,1756684842000000,1756686179000000,1,4.75,1,N,246,33,1,24.7,1.0,0.5,6.09,0.0,1.0,36.54,2.5,0.0,0.75
2,1756686495000000,1756687129000000,1,3.1,1,N,229,249,1,14.9,1.0,0.5,5.16,0.0,1.0,25.81,2.5,0.0,0.75
2,1756687302000000,1756687306000000,1,0.0,5,N,230,230,1,34.0,0.0,0.0,7.65,0.0,1.0,45.9,2.5,0.0,0.75
2,1756687504000000,1756687924000000,1,0.84,1,N,230,48,2,8.6,1.0,0.5,0.0,0.0,1.0,14.35,2.5,0.0,0.75
2,1756685196000000,1756685834000000,1,2.15,1,N,261,158,1,12.8,1.0,0.5,3.0,0.0,1.0,21.55,2.5,0.0,0.75
2,1756685942000000,1756686266000000,1,1.33,1,N,158,13,1,7.9,1.0,0.5,2.73,0.0,1.0,16.38,2.5,0.0,0.75
2,1756688028000000,1756688499000000,1,1.46,1,N,144,261,1,10.0,1.0,0.5,3.15,0.0,1.0,18.9,2.5,0.0,0.75
1,1756686871000000,1756688050000000,1,3.9,1,Y,141,90,1,21.2,4.25,0.5,5.35,0.0,1.0,32.3,2.5,0.0,0.75
1,1756686573000000,1756686848000000,1,1.2,1,N,162,107,1,7.2,4.25,0.5,3.25,0.0,1.0,16.2,2.5,0.0,0.75
2,1756684920000000,1756685662000000,1,2.53,1,N,162,148,1,14.9,1.0,0.5,2.0,0.0,1.0,22.65,2.5,0.0,0.75
2,1756685954000000,1756686735000000,1,3.65,1,N,79,48,1,17.0,1.0,0.5,4.55,0.0,1.0,27.3,2.5,0.0,0.75
2,1756687984000000,1756688342000000,1,1.66,1,N,186,142,1,9.3,1.0,0.5,0.0,0.0,1.0,15.05,2.5,0.0,0.75
2,1756685005000000,1756685706000000,1,1.11,1,N,230,164,1,11.4,1.0,0.5,3.43,0.0,1.0,20.58,2.5,0.0,0.75
2,1756685590000000,1756686225000000,1,2.37,1,N,144,186,1,12.8,1.0,0.5,3.71,0.0,1.0,22.26,2.5,0.0,0.75
2,1756686290000000,1756688496000000,1,8.47,1,N,186,225,1,40.8,1.0,0.5,9.31,0.0,1.0,55.86,2.5,0.0,0.75
2,1756684823000000,1756685065000000,1,0.49,1,N,148,79,1,5.8,1.0,0.5,0.0,0.0,1.0,11.55,2.5,0.0,0.75
2,1756686375000000,1756686522000000,1,0.51,1,N,141,141,1,5.1,1.0,0.5,1.0,0.0,1.0,11.1,2.5,0.0,0.0
2,1756685281000000,1756685902000000,1,2.0,1,N,137,79,1,12.1,1.0,0.5,3.57,0.0,1.0,21.42,2.5,0.0,0.75
2,1756685589000000,1756686355000000,1,1.77,1,N,142,186,1,12.8,1.0,0.5,3.71,0.0,1.0,22.26,2.5,0.0,0.75
2,1756686005000000,1756686494000000,1,1.52,1,N,239,140,1,10.7,1.0,0.5,0.78,0.0,1.0,16.48,2.5,0.0,0.0
2,1756686623000000,1756687255000000,1,2.46,1,N,263,239,1,13.5,1.0,0.5,3.7,0.0,1.0,22.2,2.5,0.0,0.0
1,1756685425000000,1756686211000000,1,2.8,1,N,141,74,1,13.5,4.25,0.5,3.85,0.0,1.0,23.1,2.5,0.0,0.75
1,1756687589000000,1756688191000000,1,1.9,1,N,141,142,1,11.4,4.25,0.5,2.0,0.0,1.0,19.15,2.5,0.0,0.75
1,1756685977000000,1756686967000000,1,3.6,1,N,186,263,1,18.4,4.25,0.5,6.05,0.0,1.0,30.2,2.5,0.0,0.75
1,1756686819000000,1756688177000000,1,10.0,1,N,70,161,1,42.2,11.0,0.5,6.0,6.94,1.0,67.64,2.5,1.75,0.75
2,1756685578000000,1756687749000000,1,7.86,1,N,79,41,1,40.1,1.0,0.5,9.17,0.0,1.0,55.02,2.5,0.0,0.75
2,1756685681000000,1756686797000000,2,6.3,1,N,261,140,1,28.9,1.0,0.5,3.46,0.0,1.0,38.11,2.5,0.0,0.75
